name,name_corrected,alpha_2,alpha_3,country_code,iso_3166_2,region,sub_region,intermediate_region,region_code,sub_region_code,intermediate_region_code,airport.n,airport_souce,area.2020,area_souce,seaport.n,seaport_souce,GADM.clim_ncell,GADM.clim_ncellNA,GADM.clim_ncellAVL,wc2.1_10m_bio_1,wc2.1_10m_bio_12,clim_souce,wto.member,wto.year,wto_souce,Total_Population_1.July_1k_pop_2016,Total_Population_1.July_1k_pop_2017,Total_Population_1.July_1k_pop_2018,Total_Population_1.July_1k_pop_2019,Total_Population_1.July_1k_pop_2020,Area_km2_pop_2016,Area_km2_pop_2017,Area_km2_pop_2018,Area_km2_pop_2019,Area_km2_pop_2020,population_density_km2_pop_2016,population_density_km2_pop_2017,population_density_km2_pop_2018,population_density_km2_pop_2019,population_density_km2_pop_2020,mean.population_1k,mean.area_km2,mean.population.density_km2,population_souce,HS_06,HS_07,HS_08,HS_12,HS_TOTAL,HS_06_cpi2016,HS_07_cpi2016,HS_08_cpi2016,HS_12_cpi2016,HS_TOTAL_cpi2016,HS_TOTAL.n,years.used,trade_souce,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop.mean,Pop.and.GDP.source,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp.mean,gdp.n,gdp.years.used,gdp_2016_cpi2016,gdp_2017_cpi2016,gdp_2018_cpi2016,gdp_2019_cpi2016,gdp_2020_cpi2016,gdp.mean_cpi2016,island,island.source,HS_06_n_importers_avg,HS_07_n_importers_avg,HS_08_n_importers_avg,HS_12_n_importers_avg,HS_TOTAL_n_importers_avg,HS_06_shannon_avg,HS_07_shannon_avg,HS_08_shannon_avg,HS_12_shannon_avg,HS_TOTAL_shannon_avg,HS_06_simpson_avg,HS_07_simpson_avg,HS_08_simpson_avg,HS_12_simpson_avg,HS_TOTAL_simpson_avg,HS_06_evenness_avg,HS_07_evenness_avg,HS_08_evenness_avg,HS_12_evenness_avg,HS_TOTAL_evenness_avg,HS_06_total_trade_cpi2016_avg,HS_07_total_trade_cpi2016_avg,HS_08_total_trade_cpi2016_avg,HS_12_total_trade_cpi2016_avg,HS_TOTAL_total_trade_cpi2016_avg,Observed_SR,Observed_PD,Observed_MPD,Observed_MNTD,Null_mean_PD,Null_mean_MPD,Null_mean_MNTD,Null_sd_PD,Null_sd_MPD,Null_sd_MNTD,SES_PD,SES_MPD,SES_MNTD,P_value_PD,P_value_MPD,P_value_MNTD,n_rand
Costa Rica,Costa Rica,CR,CRI,188,ISO 3166-2:CR,Americas,Latin America and the Caribbean,Central America,19,419,13,109,Global Airport Database,51100,the Food and Agriculture Organization (FAO) of the United Nations,6,Maritime Safety Information,2332800,2332652,148,23.60736819,2882.364865,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,4945.21,4993.84,5040.73,5084.53,5123.11,51060.50594,51061.75869,51060.87925,51059.75095,51057.50448,96.84999999,97.8,98.72000001,99.58000001,100.34,5037.484,51060.07986,98.658,World Trade Organization,12485396.69,67872920.89,97749932.28,149691684.4,15759857059,12012232.35,65172611.14,93948302.63,143949471,15138005304,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,4857.274,4949.955,4999.443,5047.561,5094.114,4989.6694,Gravity database,57435508.74,60516043.59,62420165.1,64417670.08,62158002.23,61389477.95,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,57435508.74,59253975.97,59661176.25,60474605.28,57642131.9,58893479.63,no,NA,29,30.8,38.4,47.4,192.6,1.232766046,1.73960076,2.099164586,0.861945851,2.578740413,0.471643216,0.746430098,0.816532702,0.294813513,0.808627399,0.366114511,0.508002606,0.575733354,0.223887839,0.490248354,11935360.01,63740387.36,92422973.57,143585041.7,14416352380,54,4236.034273,274.0289758,114.706604,4433.894293,270.4277588,118.1701834,406.4557797,21.17940615,14.11562109,-0.486793471,0.170033902,-0.245372086,0.697,0.422,0.585,999
C?te d'Ivoire,Cote d'Ivoire,CI,CIV,384,ISO 3166-2:CI,Africa,Sub-Saharan Africa,Western Africa,2,202,11,29,Global Airport Database,322460,the Food and Agriculture Organization (FAO) of the United Nations,5,Maritime Safety Information,2332800,2331854,946,26.15001256,1272.384778,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,24213.62,24848.02,25493.99,26147.55,26811.79,318014.4471,317993.6012,317999.1269,317980.664,318014.3518,76.13999999,78.14000001,80.16999999,82.23,84.31,25502.994,318000.4382,80.198,World Trade Organization,2379508.59,59338969.34,16054052.7,9851586.954,10034864018,2285275.457,56876366.82,15366194.32,9322860.981,9616503290,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,23695.919,24437.475,25069.225,25716.555,26378.275,25059.4898,Gravity database,36164644.86,51588158.72,58011466.45,58539424.93,61348579.47,53130454.89,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,36164644.86,50512282.95,55447343.32,54956172.91,56891514.89,50794391.79,no,NA,25.4,54.8,64.2,46.8,184.4,2.056382927,1.64058159,2.002427478,1.827665413,3.34659564,0.831665446,0.660165833,0.741313553,0.735533313,0.933560428,0.636379325,0.409770175,0.481248727,0.475458448,0.641482668,2285079.837,56873644.21,15365766.78,9268400.016,9530498917,28,2785.473199,316.9159789,111.040074,2686.81151,267.6541594,143.7076976,354.3870817,28.78590499,21.13371657,0.278400917,1.711317379,-1.545758575,0.421,0.055,0.944,999
Croatia,Croatia,HR,HRV,191,ISO 3166-2:HR,Europe,Southern Europe,NA,150,39,NA,24,Global Airport Database,88070,the Food and Agriculture Organization (FAO) of the United Nations,16,Maritime Safety Information,2332800,2332570,230,11.00761546,985.7565217,WorldClim_v2.1 10 mins,yes,2000,World Trade Organization,4223.75,4192.47,4160.49,4129.75,4096.87,55899.28534,55892.14771,55898.02499,55898.07796,55891.81446,75.55999999,75.01,74.43,73.88000001,73.3,4160.666,55895.87009,74.436,World Trade Organization,48576169.8,151638567,218434622.8,59061010.8,25730417738,46494297.98,145143297.1,209258642.7,56507263.71,24657235400,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,4170.6,4124.531,4087.843,4065.253,4047.68,4099.1814,Gravity database,50425335.81,56214427.43,62247874.95,62246206.34,57203783.2,57667525.55,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,50425335.81,55042070.41,59496501.37,58436058.83,53047844.18,55289562.12,no,NA,28,42.8,55.8,47.6,159.8,1.558901383,2.667375312,2.674585136,2.645445531,3.065848344,0.65241427,0.900735029,0.896745565,0.894342598,0.925049528,0.467799537,0.710135104,0.665464221,0.685656681,0.604326003,46479492.28,145082809.7,209062958.5,56348397.57,24489187773,70,3679.494601,224.9797876,61.90488801,5442.791208,274.2615769,110.0553832,401.7938323,19.95486528,11.25659686,-4.388560666,-2.469662845,-4.277535724,1,1,1,999
Cuba,Cuba,CU,CUB,192,ISO 3166-2:CU,Americas,Latin America and the Caribbean,Caribbean,19,419,29,63,Global Airport Database,109880,the Food and Agriculture Organization (FAO) of the United Nations,28,Maritime Safety Information,2332800,2332445,355,25.10644732,1331.230986,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,11342.01,11336.41,11328.24,11316.7,11300.7,106758.3773,106755.9092,106759.4006,106761.3208,106761.4549,106.24,106.19,106.11,106,105.85,11324.812,106759.2926,106.078,World Trade Organization,1067976.24,81547699.24,5764336.17,72339940.12,10642045280,1044129.196,79795464.6,5625824.876,70921424.26,10402130769,3,2016; 2017; 2018,UN Comtrade,11475.982,11339.255,11338.146,11333.484,11326.616,11362.6966,Gravity database,NA,96851000,100050000,103428000,107352000,101920250,4,gdp_2017; gdp_2018; gdp_2019; gdp_2020,NA,94831163.54,95627761.87,97097077.04,99552719.23,96777180.42,yes,https://wikimili.com/en/Island_country,3.666666667,15.66666667,19.66666667,23.33333333,135.6666667,0.104431042,1.458083911,1.713883059,1.10536263,2.982516395,0.039485375,0.689802751,0.741556312,0.486293095,0.905666823,0.082830454,0.531771041,0.575348629,0.351062994,0.607512637,1044129.196,79783338.58,4946857.022,70913997.44,10302027590,312,13742.09855,267.7866099,55.79271456,14944.45965,269.6817386,63.33380795,525.0840773,8.213675268,3.500401932,-2.289844908,-0.230728468,-2.154350711,0.995,0.582,0.991,999
Cura?ao,Cura?ao,CW,CUW,531,ISO 3166-2:CW,Americas,Latin America and the Caribbean,Caribbean,19,419,29,1,Global Airport Database,444,the Food and Agriculture Organization (FAO) of the United Nations,4,Maritime Safety Information,2332800,2332799,1,27.70240593,539,WorldClim_v2.1 10 mins,no,NA,World Trade Organization,170.74,171.52,184.72,193.11,189.29,423.9986094,423.9877392,423.9906351,424.0075531,423.9987456,402.69,404.54,435.67,455.44,446.44,181.876,423.9966565,428.956,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UN Comtrade,159.999,160.175,159.336,157.441,154.947,158.3796,Gravity database,NA,3009497.207,3020388.817,2995185.487,2496174.736,2880311.562,4,gdp_2017; gdp_2018; gdp_2019; gdp_2020,NA,2946733.868,2886886.782,2811847.43,2314823.968,2740073.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,Cyprus,CY,CYP,196,ISO 3166-2:CY,Asia,Western Asia,NA,142,145,NA,7,Global Airport Database,9250,the Food and Agriculture Organization (FAO) of the United Nations,6,Maritime Safety Information,2332800,2332781,19,17.28027991,531.8421053,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,1197.88,1208.52,1218.83,1228.84,1237.54,9240.049367,9240.155975,9239.860511,9240.09324,9240.200105,129.64,130.79,131.91,132.99,133.93,1218.322,9240.07184,131.852,World Trade Organization,10867532.89,37923249.19,60093170.64,13633219.82,9185963521,10420229.76,36315044.84,57532846.81,13105949.8,8812018598,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,1170.125,1179.685,1189.262,1198.574,1207.361,1189.0014,Gravity database,19801663.49,22870833.71,25522671.23,25758357.78,24692095.95,23729124.43,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,19801663.49,22393860.38,24394561.99,24181665.02,22898178.84,22733985.94,yes,https://wikimili.com/en/List_of_island_countries,24,45.2,44.8,38.4,157.4,1.7196375,2.251851904,2.111463124,2.345051834,3.180166165,0.722775384,0.827881967,0.757473286,0.853525774,0.921945072,0.542086565,0.591372198,0.556078678,0.643463125,0.628635573,10419893.6,36315044.84,57532846.81,13103941.95,8481532258,22,2447.027047,277.0902456,157.1009003,2267.133549,270.9804686,157.2883829,335.5172176,33.77899174,25.18056331,0.536167709,0.180875058,-0.007445529,0.331,0.446,0.483,999
Czechia,Czechia,CZ,CZE,203,ISO 3166-2:CZ,Europe,Eastern Europe,NA,150,151,NA,98,Global Airport Database,78871.01,the Food and Agriculture Organization (FAO) of the United Nations,NA,NA,2332800,2332443,357,7.647854279,651.7114846,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,10527.59,10531.31,10534.59,10536.87,10530.95,77204.38545,77203.35753,77204.76365,77204.49883,77200.71842,136.36,136.41,136.45,136.48,136.41,10532.262,77203.54478,136.422,World Trade Organization,216277924.2,627113035.4,818631975.4,341823261.8,1.68173E+11,207068161.2,601340129,784805212.7,326850463.7,1.61173E+11,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,10561.633,10594.438,10629.928,10671.87,10697.858,10631.1454,Gravity database,192924598.3,218628941,248950103.4,252498032.2,245339322.1,231668199.4,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,192924598.3,214069414.4,237946438.8,237042395.6,227515059.3,221899581.3,no,NA,81.4,98.6,123.6,101.6,226.4,1.538073358,2.553186722,3.276382179,2.716424762,2.988695166,0.565278084,0.881283933,0.933324728,0.893104361,0.895077439,0.34963011,0.55638903,0.680331667,0.58796851,0.551193219,206993419.4,601277281.5,784745697.3,326141416.4,1.59088E+11,108,6264.303759,256.1904518,76.08217405,7338.214468,271.4761692,93.998222,437.7633289,15.2925765,7.934066758,-2.453176496,-0.999551475,-2.258116612,0.992,0.84,0.995,999
Denmark,Denmark,DK,DNK,208,ISO 3166-2:DK,Europe,Northern Europe,NA,150,154,NA,43,Global Airport Database,42920,the Food and Agriculture Organization (FAO) of the United Nations,69,Maritime Safety Information,2332800,2332562,238,8.081274742,701.2352941,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,5706.86,5737.28,5766.69,5795.88,5825.64,42392.36369,42394.73879,42392.781,42392.3347,42392.9559,134.62,135.33,136.03,136.72,137.42,5766.47,42393.03482,136.024,World Trade Organization,348310000.9,504422741.1,775545789.7,385321467.1,94206140717,333710760.5,483063516,743426946.8,368981309,90343619154,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,5731.118,5764.98,5793.636,5814.422,5831.404,5787.112,Gravity database,306142937.1,332121063.8,356841216.4,347561349.2,356084867.7,339750286.8,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,306142937.1,325194648.7,341068734.3,326286799.5,330214778.1,325781579.5,no,NA,53.6,73.2,83.6,81.4,209,1.292487627,2.117864658,2.473182813,2.91712986,3.076922738,0.517132903,0.827447203,0.859309931,0.915045769,0.911630956,0.324657566,0.493781553,0.558923846,0.663273451,0.575973213,333710737.3,483032554.1,743426263.5,255183223.8,88508937120,35,3225.090428,328.6722687,110.8745731,3239.551028,272.4151131,136.4852718,388.3202369,27.61857319,18.99871238,-0.037238852,2.036932003,-1.348022866,0.534,0.038,0.907,999
Djibouti,Djibouti,DJ,DJI,262,ISO 3166-2:DJ,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14,1,Global Airport Database,23200,the Food and Agriculture Organization (FAO) of the United Nations,2,Maritime Safety Information,2332800,2332735,65,28.10732049,171.4,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,1023.26,1040.23,1057.2,1073.99,1090.16,23182.14771,23178.0303,23179.12738,23181.30801,23180.09781,44.14,44.88000001,45.61000001,46.33,47.03,1056.968,23180.14224,45.598,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UN Comtrade,942.333,944.1,958.923,973.557,988.002,961.383,Gravity database,NA,2762581.334,2913466.732,3088853.639,3181071.154,2986493.215,4,gdp_2017; gdp_2018; gdp_2019; gdp_2020,NA,2704967.448,2784690.683,2899782.068,2949961.654,2834850.463,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominica,Dominica,DM,DMA,212,ISO 3166-2:DM,Americas,Latin America and the Caribbean,Caribbean,19,419,29,3,Global Airport Database,750,the Food and Agriculture Organization (FAO) of the United Nations,2,Maritime Safety Information,2332800,2332797,3,24.71240362,1959.333333,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,70.08,70.4,70.82,71.43,72,750.080274,749.9733674,749.9735254,750,750.0781331,93.43,93.87,94.43,95.24,95.99,70.946,750.02106,94.592,World Trade Organization,91828.3844,1951742.88,834998.115,288479.6482,237330496.3,86426.32176,1869698.409,798284.9003,278104.055,227637334.4,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,73.543,71.46,71.626,71.808,71.991,72.0856,Gravity database,525424.64,521551.852,554770.37,611537.037,504214.815,543499.7428,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,525424.64,510674.8405,530249.3637,574104.2928,467582.8667,521607.2007,yes,https://wikimili.com/en/List_of_island_countries,3,11,8.6,12,93.2,0.598449145,1.479910796,0.969579272,1.470722245,2.51747824,0.362533443,0.734203287,0.530356235,0.685840426,0.81584243,0.629294193,0.617855427,0.451465882,0.5958081,0.555275347,86195.86818,1864244.519,796778.4704,277754.4517,225437554.2,6,812.528022,230.1219027,107.951739,753.3730425,269.048936,209.8692467,197.2595672,65.55245157,50.53305513,0.299883956,-0.593830321,-2.016848327,0.166,0.859,0.987,999
Dominican Republic,Dominican Republic,DO,DOM,214,ISO 3166-2:DO,Americas,Latin America and the Caribbean,Caribbean,19,419,29,52,Global Airport Database,48670,the Food and Agriculture Organization (FAO) of the United Nations,17,Maritime Safety Information,2332800,2332653,147,24.09163518,1395.088435,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,10527.59,10647.24,10765.53,10881.88,10999.66,48311.64242,48310.9034,48310.58158,48310.23307,48311.92902,217.91,220.39,222.84,225.25,227.68,10764.38,48311.0579,222.814,World Trade Organization,10895008.51,91209429.97,76104724.98,136440319.6,19655335144,10494938.53,87418495.88,73021438.2,130410072,18876264725,4,2016; 2017; 2019; 2020,UN Comtrade,10648.791,10513.111,10627.147,10738.957,10847.904,10675.182,Gravity database,71583555.58,79997975.62,85555378.04,88941299.73,78844702.33,80984582.26,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,71583555.58,78329610.53,81773806.28,83497121.01,73116518.68,77660122.42,yes,https://wikimili.com/en/Island_country,14.8,32.2,31.2,44,192.8,1.528586993,1.404528716,1.006852949,0.715006431,2.49991926,0.649776375,0.572633181,0.411527112,0.233095797,0.784883262,0.72588876,0.40458067,0.475366022,0.189848992,0.475180934,8563339.986,87896074.72,58244428.61,131834405.6,19124928194,23,2095.44112,236.5844929,125.2463169,2327.947878,271.9307276,152.4728845,348.2874451,34.59368584,25.08926247,-0.66757146,-1.021753938,-1.085188042,0.678,0.928,0.868,999
Ecuador,Ecuador,EC,ECU,218,ISO 3166-2:EC,Americas,Latin America and the Caribbean,South America,19,419,5,147,Global Airport Database,256370,the Food and Agriculture Organization (FAO) of the United Nations,6,Maritime Safety Information,2332800,2332054,746,20.84304382,1978.394102,WorldClim_v2.1 10 mins,yes,1996,World Trade Organization,16439.59,16696.94,17015.67,17343.74,17588.6,248369.6933,248355.4961,248367.6835,248370.9008,248356.3965,66.19,67.22999999,68.51000001,69.82999999,70.82,17016.908,248364.034,68.516,World Trade Organization,19803435.28,46259459.94,117801386.4,31006489.94,19938547974,18959239.34,44424839.02,112424097.3,29654327.2,19114296698,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,16385.069,16785.357,17084.358,17373.657,17643.061,17054.3004,Gravity database,97802207.23,104295862,107562008,108108009,99291124,103411842,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,97802207.23,102120762.3,102807737,101490618.4,92077477.73,99259760.52,no,NA,19.4,19,21.8,33.2,184.6,1.831190801,1.446013426,1.052590968,2.592946004,2.900528649,0.755837585,0.698297549,0.437762803,0.880985356,0.893120495,0.618312887,0.491541498,0.34149278,0.741184384,0.555872951,18638615.2,44424839.22,112424097.3,29286237.5,18740198726,6,1193.752054,384.8740527,291.587359,761.1706115,270.3780861,213.2117748,194.6284197,63.65545596,49.0479741,2.222601629,1.798682687,1.597937237,0.059,0.116,0.097,999
Egypt,Egypt,EG,EGY,818,ISO 3166-2:EG,Africa,Northern Africa,NA,2,15,NA,18,Global Airport Database,1001450,the Food and Agriculture Organization (FAO) of the United Nations,30,Maritime Safety Information,2332800,2329588,3212,22.21031589,19.87141968,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,99784.03,101789.39,103740.77,105618.67,107465.13,995451.2171,995397.9073,995401.7463,995463.4307,995416.1727,100.24,102.26,104.22,106.1,107.96,103679.598,995426.0948,104.156,World Trade Organization,8562477.832,509389190.1,515539676,1661305778,73259777034,8061863.747,489952008.4,493587792.2,1580778186,70297026840,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,95688.683,96442.589,98423.599,100388.077,102334.404,98655.4704,Gravity database,336296935.4,235733695.7,249712999.4,303080865.6,365252651.3,298015429.5,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,336296935.4,230817447.9,238675614.7,284529007.2,338716508.7,285807102.8,no,NA,22.6,48.8,65.2,70.8,171,2.040422886,2.39587871,2.517695012,1.728956119,3.524762173,0.805363687,0.860196238,0.876384683,0.662583243,0.95085688,0.658295827,0.616346498,0.60329176,0.406889557,0.685572247,8049142.106,487867970.1,492544178.4,1578932158,69648931894,19,1758.832625,239.1346201,107.1103494,2034.224589,273.7459721,164.4885475,330.8578541,38.31608863,28.40105031,-0.832357345,-0.9033112,-2.020284372,0.755,0.852,0.986,999
El Salvador,El Salvador,SV,SLV,222,ISO 3166-2:SV,Americas,Latin America and the Caribbean,Central America,19,419,13,3,Global Airport Database,21040,the Food and Agriculture Organization (FAO) of the United Nations,3,Maritime Safety Information,2332800,2332739,61,24.53404348,1832.622951,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,6250.51,6266.65,6276.34,6280.22,6292.73,20719.69371,20719.62308,20720.1479,20719.96041,20720.21732,301.6699999,302.45,302.91,303.1,303.7,6273.29,20719.92848,302.766,World Trade Organization,6153222.536,97433316.03,94144966.12,13910635.1,10670319341,5918644.822,92977243.85,90085362.68,13328843.9,10239171249,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,6344.722,6388.124,6420.74,6453.55,6486.201,6418.6674,Gravity database,26797469.7,24979190,26020850,26896660,24638720,25866577.94,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,26797469.7,24458246.71,24870721.11,25250290.71,22848680.74,24845081.79,NA,NA,13.8,27.8,29.8,32,176.2,0.851605835,1.472153495,2.015530797,1.562150276,2.639072631,0.347354125,0.672916612,0.83056762,0.572080824,0.857655018,0.326742709,0.442816273,0.595475718,0.451569821,0.510326562,5807285.681,92975400.57,90085336.49,13291297.95,10099007117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equatorial Guinea,Equatorial Guinea,GQ,GNQ,226,ISO 3166-2:GQ,Africa,Sub-Saharan Africa,Middle Africa,2,202,17,2,Global Airport Database,28050,the Food and Agriculture Organization (FAO) of the United Nations,7,Maritime Safety Information,2332800,2332723,77,23.53552598,2228.597403,WorldClim_v2.1 10 mins,no,NA,World Trade Organization,1398.93,1450.69,1502.09,1553.03,1596.05,28051.53399,28048.91725,28050.23343,28048.22106,28050.08787,49.87,51.71999999,53.54999999,55.37,56.90000001,1500.158,28049.79872,53.482,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UN Comtrade,1221.49,1262.008,1308.966,1355.982,1402.985,1310.2862,Gravity database,10178967.55,12200912.83,13097011.21,11364134.11,10099157.27,11388036.59,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,10178967.55,11946461.68,12518119.63,10668525.01,9365438.633,10935502.5,no,https://wikimili.com/en/Equatorial_Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eritrea,Eritrea,ER,ERI,232,ISO 3166-2:ER,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14,NA,NA,121630.327,the Food and Agriculture Organization (FAO) of the United Nations,2,Maritime Safety Information,2332800,2332437,363,25.72140499,355.7134986,WorldClim_v2.1 10 mins,NA,NA,World Trade Organization,3365.29,3396.93,3445.37,3498.82,3555.87,121140.7487,121145.8631,121145.218,121150.277,121154.0034,27.78000001,28.03999999,28.44,28.88,29.35,3452.456,121147.222,28.498,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UN Comtrade,NA,NA,NA,NA,NA,NA,Gravity database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,Estonia,EE,EST,233,ISO 3166-2:EE,Europe,Northern Europe,NA,150,154,NA,7,Global Airport Database,45340,the Food and Agriculture Organization (FAO) of the United Nations,20,Maritime Safety Information,2332800,2332544,256,5.481678883,647.9296875,WorldClim_v2.1 10 mins,yes,1999,World Trade Organization,1315.93,1317.55,1322.15,1327.04,1329.44,43458.71863,43469.1521,43463.18212,43466.75401,43459.95423,30.28,30.31,30.42,30.53,30.59,1322.422,43463.55222,30.426,World Trade Organization,34672253.86,83483074.1,147637954.3,25481504.59,17862948787,33256166.73,80042281.03,141457026.8,24461513.63,17128551440,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,1316.481,1317.384,1321.977,1326.855,1329.479,1322.4352,Gravity database,23136741.38,26924385.1,30489500.91,31045591.75,30650285.47,28449300.92,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,23136741.38,26362874.59,29141856.39,29145262.54,28423497.13,27242046.41,no,NA,33.8,75.8,96.6,64.8,177.2,0.839204067,2.628762172,3.299159986,2.866634941,3.245252745,0.304264179,0.887916488,0.941569239,0.915853064,0.941974363,0.239187143,0.607498804,0.721892417,0.687429759,0.626909705,33180819.88,79540932.8,140272008.2,24197713.84,16151118190,49,3407.682383,230.6914813,89.37487837,4153.979024,272.0699254,122.4990389,400.9419144,23.49144079,14.00572443,-1.861358503,-1.761426406,-2.365044428,0.954,0.999,0.992,999
Eswatini,Eswatini,SZ,SWZ,748,ISO 3166-2:SZ,Africa,Sub-Saharan Africa,Southern Africa,2,202,18,9,Global Airport Database,17360,the Food and Agriculture Organization (FAO) of the United Nations,NA,NA,2332800,2332743,57,20.46916446,836.9122807,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,1142.52,1151.39,1160.43,1169.61,1180.66,17363.52584,17363.74604,17363.90842,17363.56888,17362.64706,65.79999998,66.31000001,66.83000002,67.36000001,68,1160.922,17363.47925,66.86,World Trade Organization,2258300.808,16856043.04,6972092.434,3310195.58,1688715648,2164481.079,16104183.49,6690923.542,3190282.241,1619814003,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,1343.098,1124.808,1136.274,1148.133,1160.164,1182.4954,Gravity database,3727303.68,4402969.226,4666784.618,4466066.557,3984840.58,4249592.932,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,3727303.68,4311144.9,4460511.426,4192694.517,3695336.048,4077398.114,no,NA,4.6,16,9.8,12,139,0.03113239,0.367459997,0.248203205,0.267393307,1.252267682,0.00991014,0.172126182,0.102187012,0.118564221,0.415470679,0.01980346,0.133102618,0.112747444,0.106042487,0.253620289,2164481.079,16100763.4,6690850.443,3188872.788,1601901486,11,1034.782019,209.7562637,79.95849291,1273.927568,268.7477084,186.6109151,252.9814982,47.44042552,36.79266329,-0.945308455,-1.243484729,-2.89874156,0.884,0.995,1,999
